category,Image_ROAUC,Pixel_ROAUC,PRO_score
carpet,0.9931781701444623,0.9924451387172769,0.9696241211346189
grid,0.9097744360902256,0.9573615109183672,0.9340483664567788
leather,1.0,0.9929127035625922,0.9842369980071721
tile,0.977994227994228,0.9273676347079987,0.8549748934363977
wood,0.9921052631578947,0.9478784397870511,0.9263554922622115
bottle,1.0,0.9846218371828663,0.9609185830206084
cable,0.8363943028485757,0.9648865964646505,0.8969480595094894
capsule,0.9042680494615079,0.9885150268319043,0.9520830943232644
hazelnut,0.9214285714285714,0.9807797980306279,0.933661493914538
metal_nut,0.9824046920821115,0.9765616954037494,0.9364622365592714
pill,0.8589743589743589,0.958284997320171,0.9404491579321077
screw,0.7610166017626563,0.9812708811034904,0.9312226248968364
toothbrush,0.9138888888888889,0.9882226793559312,0.9523378113983734
transistor,0.9512499999999999,0.974324622415168,0.9315611734547595
zipper,0.9170168067226891,0.9852892256870138,0.9563934184225302
